module,minutes
mgmtsystem_nonconformity_type,84
mgmtsystem_objective,134
mgmtsystem_partner,64
mgmtsystem_quality,61
mgmtsystem_review,122
mgmtsystem_review_survey,69
mgmtsystem_survey,62
account_invoice_inter_company,204
account_multicompany_easy_creation,231
base_multi_company,108
calendar_event_multi_company,67
calendar_event_type_multi_company,66
crm_lost_reason_multi_company,72
crm_stage_multi_company,75
crm_tag_multi_company,70
hr_employee_multi_company,61
ir_filters_multi_company,69
ir_ui_view_multi_company,75
login_all_company,67
mail_multicompany,79
mail_template_multi_company,69
partner_category_multi_company,70
partner_multi_company,122
product_multi_company,82
product_multi_company_stock,74
product_tax_multicompany_default,145
purchase_sale_inter_company,199
res_company_category,101
res_company_code,82
res_company_search_view,63
res_partner_industry_multi_company,66
utm_medium_multi_company,67
utm_source_multi_company,68
account_partner_company_group,68
base_location,173
base_location_geonames_import,170
base_location_nuts,203
base_partner_company_group,76
base_partner_sequence,85
crm_partner_company_group,69
partner_affiliate,74
partner_capital,80
partner_category_description,66
partner_category_type,81
partner_company_default,72
partner_company_group,65
partner_company_type,77
partner_contact_access_link,67
partner_contact_address_default,85
partner_contact_age_range,98
partner_contact_birthdate,69
partner_contact_birthplace,70
partner_contact_department,77
partner_contact_gender,70
partner_contact_job_position,73
partner_contact_lang,75
partner_contact_personal_information_page,62
partner_contact_role,72
partner_contact_tags_in_popup,62
partner_country_state_required,73
partner_deduplicate_acl,72
partner_deduplicate_by_website,70
partner_deduplicate_filter,74
partner_disable_gravatar,64
partner_duns,87
partner_email_check,119
partner_email_duplicate_warn,83
partner_employee_quantity,73
partner_external_map,156
partner_fax,66
partner_firstname,198
partner_identification,151
partner_identification_gln,81
partner_identification_unique_by_category,83
partner_industry_secondary,104
partner_manual_rank,93
partner_multi_relation,452
partner_phonecall_schedule,90
partner_pricelist_search,78
partner_priority,78
partner_property,101
partner_readonly_security,72
partner_ref_unique,86
partner_search_alias,74
partner_second_lastname,121
partner_stage,97
partner_supplier_ref,68
partner_title_order,66
partner_tz,76
partner_vat_unique,76
sale_customer_rank,70
sale_partner_company_group,88
product_assortment,169
product_attachment_zipped_download,72
product_attribute_archive,69
product_attribute_value_avoid_auto_fill,70
product_attribute_value_menu,86
product_barcode_required,108
product_catalog_stock,116
product_category_active,81
product_category_code,70
product_category_name_translatable,63
product_category_product_link,66
product_category_tag,82
product_category_type,71
product_category_uom,81
product_code_unique,65
product_cost_security,94
product_customerinfo,193
product_dimension,103
product_drained_weight,87
product_get_price_helper,98
