App;User Group;1;2;3;4;5;6;7;8
hr_contract;base.group_user;0,9;1,8;2,7;3,6;4,5;4,5;4,5;4,5
hr_expense;base.group_user;2,4;4,8;7,2;9,6;12;12;12;12
hr_fleet;base.group_user;9,6;19,2;28,8;38,4;48;48;48;48
hr_gamification;base.group_user;1;2;3;3;3;3;3;3
hr_holidays;base.group_user;16,02;32,04;48,06;64,08;80,1;80,1;80,1;80,1
hr_holidays_attendance;base.group_user;0;0;0;0;0;0;0;0
hr_holidays_contract;base.group_user;2,472;4,944;7,416;9,888;12,36;12,36;12,36;12,36
hr_homeworking;base.group_user;78;78;78;78;78;78;78;78
hr_homeworking_calendar;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
hr_hourly_cost;base.group_user;0;0;0;0;0;0;0;0
hr_livechat;base.group_user;10;20;30;30;30;30;30;30
hr_maintenance;base.group_user;1;2;3;3;3;3;3;3
hr_org_chart;base.group_user;0,66;1,32;1,98;2,64;3,3;3,3;3,3;3,3
hr_presence;base.group_user;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
hr_recruitment;base.group_user;43,4;86,8;130,2;130,2;130,2;130,2;130,2;130,2
hr_recruitment_skills;base.group_user;18,1;36,2;54,3;54,3;54,3;54,3;54,3;54,3
hr_recruitment_survey;base.group_user;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
hr_skills;base.group_user;20,46;40,92;61,38;81,84;102,3;102,3;102,3;102,3
hr_skills_slides;base.group_user;0;0;0;0;0;0;0;0
hr_skills_survey;base.group_user;21,5;43;64,5;64,5;64,5;64,5;64,5;64,5
hr_timesheet;base.group_user;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1
hr_timesheet_attendance;base.group_user;0;0;0;0;0;0;0;0
hr_work_entry;base.group_user;49,5;49,5;49,5;49,5;49,5;49,5;49,5;49,5
hr_work_entry_contract;base.group_user;0;0;0;0;0;0;0;0
hr_work_entry_holidays;base.group_user;33;33;33;33;33;33;33;33
html_editor;base.group_user;2,01966;4,03932;6,05898;8,07864;10,0983;12,11796;14,13762;16,15728
http_routing;base.group_user;0;0;0;0;0;0;0;0
